model,g,lam,mu,seed,warmup,horizon,L,Lq,utilization,W_mean,Wq_mean,Pwait_sim,Pwait_theory,n_samples,obs_time,arrivals_obs,lambda_hat,rho_theory,little_L_error,little_Lq_error,L_theory,Lq_theory,W_theory,Wq_theory
mmg,1,0.85,1.0,137,10000.0,200000.0,5.53256650797682,4.682765925084275,0.8498005828925576,6.510081762503494,5.510090607587696,0.8506221239540948,0.8500000000000001,161463,190000.0,161473,0.8498578947368421,0.85,1.4075432983622524e-05,5.996133460640258e-06,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,138,10000.0,200000.0,6.067324612897681,5.213035817017126,0.854288795880614,7.110772731368244,6.109443068814471,0.8546749096114217,0.8500000000000001,162078,190000.0,162078,0.8530421052631579,0.85,0.000253171237977403,0.00027309223649941067,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,139,10000.0,200000.0,5.331091106918355,4.485949168004652,0.8451419389137504,6.28752789354661,5.290771884676606,0.8441435905075824,0.8500000000000001,161097,190000.0,161099,0.8478894736842105,0.85,7.054750128828995e-06,9.055090794110627e-06,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,140,10000.0,200000.0,5.691229945342946,4.840873468107035,0.850356477235981,6.696352364403255,5.695834287649311,0.849837129516095,0.8500000000000001,161478,190000.0,161484,0.8499157894736842,0.85,1.856559018578129e-05,2.190249185556728e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,141,10000.0,200000.0,5.717427829863269,4.864797727524898,0.8526301023383269,6.714692883457225,5.713371966518619,0.8529571753535753,0.8500000000000001,161776,190000.0,161778,0.8514631578947368,0.85,1.997804342485214e-05,1.4798289615318841e-05,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,1,0.85,1.0,142,10000.0,200000.0,5.886289535159944,5.030078331359777,0.8562112038002702,6.901794468930911,5.897874415006057,0.8545315412053666,0.8500000000000001,162042,190000.0,162044,0.8528631578947369,0.85,5.62195773552074e-07,2.9166322377209875e-07,5.666666666666667,4.816666666666666,6.666666666666667,5.666666666666667
mmg,2,1.7,1.0,123,10000.0,200000.0,6.008210143633653,4.313085817842721,0.8475621628954555,3.5385448585663277,2.540139226643796,0.7785086767559658,0.781081081081081,322586,190000.0,322602,1.6979052631578948,0.85,1.601214858935549e-05,3.942786616737506e-05,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,124,10000.0,200000.0,6.191013007331344,4.489210802583789,0.8509011023736557,3.6420921735253393,2.6409508351217914,0.7819491835053844,0.781081081081081,322966,190000.0,322974,1.6998631578947367,0.85,7.316428037047559e-06,9.851141553912041e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,125,10000.0,200000.0,6.0537598172198255,4.3596318125418225,0.8470640023390043,3.575198850107607,2.574692416955651,0.7764391396245182,0.781081081081081,321720,190000.0,321721,1.6932684210526316,0.85,1.8987623251650064e-06,3.10829295669707e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,126,10000.0,200000.0,6.236023367880198,4.532334094158409,0.8518446368607908,3.659785196923682,2.659835058531668,0.7825174933193284,0.781081081081081,323695,190000.0,323717,1.7037736842105262,0.85,9.263267058383579e-05,0.00012733330765082784,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,127,10000.0,200000.0,6.139773135052661,4.445239541996667,0.8472667965281553,3.617024612739119,2.618748235080402,0.7773109373982555,0.781081081081081,322499,190000.0,322499,1.6973631578947368,0.85,6.00700030263565e-05,6.136181565716911e-05,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
